mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_var_0,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_delta_mean_0,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_var_0,mfcc_delta_var_1,mfcc_delta_var_2,mfcc_delta_var_3,mfcc_delta_var_4,mfcc_delta_var_5,mfcc_delta_var_6,mfcc_delta_var_7,mfcc_delta_var_8,mfcc_delta_var_9,mfcc_delta_var_10,mfcc_delta_var_11,mfcc_delta_var_12,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_mean,spectral_rolloff_var,spectral_flux_mean,spectral_flux_var,spectral_contrast_mean_0,spectral_contrast_mean_1,spectral_contrast_mean_2,spectral_contrast_mean_3,spectral_contrast_mean_4,spectral_contrast_mean_5,spectral_contrast_mean_6,spectral_contrast_var_0,spectral_contrast_var_1,spectral_contrast_var_2,spectral_contrast_var_3,spectral_contrast_var_4,spectral_contrast_var_5,spectral_contrast_var_6,envelope_mean,envelope_var,spectral_bandwidth_mean,spectral_bandwidth_var,rms_mean,rms_var,energy,amplitude_mean,amplitude_var,dynamic_range,tempo_0,beat_strength_mean,beat_strength_var,ibi_var,ibi_mean,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11,tonnetz_mean_0,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_var_0,tonnetz_var_1,tonnetz_var_2,tonnetz_var_3,tonnetz_var_4,tonnetz_var_5,hpr,harmonic_energy,percussive_energy,zcr_mean,zcr_var,onset_acf_mean,onset_acf_var,skewness,kurtosis,file_name
-298.75613,112.07628,6.4888177,28.38917,-6.7709866,16.645588,-11.807551,12.744363,-8.340971,13.893223,-4.237726,2.317613,-4.3295827,1554.9755,390.28247,320.89825,105.76838,101.059784,61.902504,82.039276,48.866817,47.399956,64.28026,111.89061,126.388306,120.86395,0.005839213,0.0048123416,0.020787872,0.015165384,0.0012717671,0.0042420067,0.012779301,0.0017029017,-0.00020933815,-0.009065419,-0.0068044476,-0.0016053702,0.008666029,36.538918,6.454208,5.229606,2.149433,2.356934,1.5652076,1.1270391,1.0243331,0.9374882,0.991976,1.1989373,1.4309317,1.0978681,1451.8621242970437,183985.4256886537,3047.4311987927786,1842018.81289966,1.0192202,1.0120639,19.66791656235399,20.515668202572883,26.072390340585727,25.74578819458816,23.396068494457275,19.54172448564825,34.60059328422149,24.51721541272151,32.6707807782227,31.555139930797885,25.5563017376793,17.636077960856163,7.324130890536985,6.284332325771446,0.041394427,0.0015730766,1920.2708432790441,124234.97968482233,0.05047974,0.00073608797,0.0032865746748846694,0.041394427,0.0015730766,0.68182373,129.19921875,1.0192202,1.0120639,2.275956959741713e-09,0.0009135082604470361,0.29304987,0.29895103,0.43265662,0.36654538,0.3142829,0.31870836,0.27641755,0.32215896,0.4461245,0.32214445,0.20240714,0.22938964,0.06044647,0.051617138,0.11205042,0.06887739,0.062175784,0.09067868,0.059014488,0.091232896,0.1212619,0.089204274,0.039806545,0.05709102,0.00874522353636746,0.028968140868838522,-0.004043844171597686,0.02083105756451017,-0.043708868495004556,-0.007958987709844297,0.06336811809580167,0.02676245250310005,0.03946771081638589,0.05402726740184371,0.008509909446646164,0.00577286889826747,0.30481369774151373,2037.1526,39.70027,0.051224215124709975,0.0006286968604242439,672.6159523858511,164325.7982553431,0.08848807129356903,2.6171449695852838,m00002.wav
-169.15335,110.46,-8.5762,43.884247,0.27496976,26.637419,-14.368152,13.034431,-11.149249,8.130109,-7.6929665,10.910651,-8.175924,5892.562,1215.4264,493.89438,327.86285,245.5842,143.9993,259.7197,129.64703,166.33925,120.264595,102.96237,78.15807,92.049706,0.056804735,-0.018236648,-0.018924866,0.00380121,-0.0012558467,0.001814455,7.7294826e-05,-0.008676534,-0.010297397,-0.0090704635,0.0059734075,0.010871487,-0.0004834513,213.43025,34.695606,15.847273,9.308044,6.993538,3.9017131,6.591294,3.8358722,4.5651155,3.65002,2.752775,2.0397382,2.5221355,1811.4103936654164,655731.6371544825,3854.8513744380803,2880614.558627496,1.8232806,7.378284,19.96482895649023,17.050832121703678,21.10992319733481,19.301230590043716,20.55335475759482,18.597363006000073,38.304348820891825,30.9146360604275,19.606907476727585,28.65691157658045,18.513179417177252,19.148486140239484,12.409549917565489,24.440843513508344,0.097200155,0.008679882,2019.3002564021967,195537.96423370126,0.12366478,0.0028149432,0.018127752579541367,0.097200155,0.008679882,1.8945007,135.99917763157896,1.8232806,7.378284,5.500910038549261e-10,0.0008442351299494157,0.5125854,0.34095627,0.38084272,0.42450905,0.3629789,0.47943187,0.34575376,0.4420357,0.32104883,0.35876027,0.5612976,0.3704674,0.11168957,0.04558184,0.055860993,0.07984231,0.05087445,0.09446831,0.050668575,0.08673819,0.041175127,0.05198922,0.10492891,0.046198733,-0.05529001526175327,0.12423394341722667,0.011879578805388018,-0.021722133665389592,0.016997844990195913,0.003116464456442557,0.011451980237017817,0.01167775787535283,0.022843327596079124,0.028913314479716377,0.0030976442111676824,0.003984044549245208,0.902208261924696,6367.0254,3609.1882,0.07214969124613302,0.0026726199244264163,2154.5447263007554,2526802.1296482254,0.10628102200477091,3.1489869244663984,m00039.wav
-18.84539,71.32566,-3.766896,-1.4087266,0.70546305,-1.058955,-1.0548252,-0.24742083,0.62572324,0.4270432,-1.5037423,-1.0761551,2.4198709,3374.669,495.48764,284.5831,247.31259,123.88206,142.44643,86.42157,95.92906,119.48216,80.20246,85.00077,71.306244,47.12731,-0.04270682,0.015376052,-0.006734382,-0.037047554,-0.010957369,-0.031507526,-0.01870253,-0.003428929,0.0014210345,-0.0053430432,-0.023306556,-0.0008537952,0.008406204,116.64683,15.68595,7.9994698,6.2749033,3.1363807,3.8582528,1.9949691,2.313976,2.258442,1.828834,1.8502975,1.7567563,1.4435226,3110.8981962269786,607493.8039578667,6744.988602994489,2183333.8564044028,1.409892,2.5726829,17.23386190385255,14.865518132610863,18.241216639267055,18.56331994607732,19.586907503664804,17.00706434135334,15.156098914568132,25.789949114124116,16.062519534701362,16.401863106858634,14.990803277230482,17.205278113065248,5.542712318302661,1.802836458964251,0.1571471,0.020749131,2992.0106380347183,120295.89715682504,0.1983218,0.006053899,0.04544435566054778,0.1571471,0.020749131,1.9999695,95.703125,1.409892,2.5726829,4.326865120785863e-09,0.0012084278155706726,0.45806336,0.6081814,0.31017345,0.38185132,0.31057474,0.45247197,0.4577396,0.371228,0.5943817,0.3781585,0.60804844,0.40881848,0.050655268,0.0744424,0.02145431,0.050720416,0.025036918,0.0480895,0.08902746,0.025370646,0.0717147,0.025513312,0.10116313,0.035092946,-0.13021315527845403,-0.030895902091207978,-0.05928445572850327,-0.0007728953029724891,0.01279563030997334,-0.016378226279074357,0.0043864929625504565,0.00890457546946982,0.010182667109982503,0.01597508107342984,0.0019144905732155,0.0018848173534338156,-0.625686472282375,13829.234,7554.969,0.15285733275328692,0.004725775148591775,1287.389961078942,848007.387051246,-0.03769235935485543,1.653724298356285,m00041.wav
-69.63065,83.07227,-16.599928,0.118371196,7.420607,0.7700079,1.3374783,4.6957984,-1.4168245,3.3194354,-2.8782654,-8.20215,-5.767511,2324.3726,440.48135,305.41354,189.19415,104.51682,100.688416,75.027916,59.404194,74.245895,66.62598,61.396885,65.21519,47.90085,-0.016271234,-0.00578228,-0.013230158,-0.00918996,-0.0012965855,-0.0048112916,-0.016064942,-0.012575365,0.0045625344,-0.0020405555,0.0050618835,0.011458612,-0.007213085,78.40637,12.773779,11.816239,8.617946,3.0451365,4.153696,3.0554078,2.4236498,2.887429,2.3592806,2.2387767,2.156857,1.9683992,2624.814629146055,342561.33155345364,5605.777239522912,2108784.3336995537,1.5294886,2.54081,29.752017498942006,16.1419351725176,18.92610382322248,19.113686802306564,19.466280983384586,17.548978072827634,15.208348218880122,38.78680579173661,21.473992579511968,17.99818695257854,11.076576707407627,9.175553238429421,6.289173273986551,2.1319886291783874,0.10906806,0.012503019,2709.8971083894817,129902.02248592969,0.14292744,0.0039581885,0.024398857617513908,0.10906806,0.012503019,1.9249268,129.19921875,1.5294886,2.54081,9.928810416359567e-10,0.0009192671777705792,0.51262784,0.67201936,0.6294455,0.7818903,0.6875622,0.7700135,0.75965214,0.5269264,0.6177265,0.46491504,0.5389726,0.47444537,0.017860416,0.037368763,0.026826022,0.038030468,0.030027665,0.038753126,0.042085174,0.021374376,0.039652117,0.01607471,0.028734306,0.018068792,-0.05709505486145126,-0.02692282656377012,-0.016472586202280454,-0.01669571149376882,-0.004114352247504596,0.005337940192617889,0.0015212161039782517,0.002094063424776629,0.004274241425518922,0.004529278983013746,0.0004122949261342433,0.00047739389604893384,0.44525958127586757,6298.0127,5382.89,0.12021650534126063,0.0015118620889880297,1514.820426069732,1071666.4045598586,0.04082794961610432,3.73045357522715,m00072.wav
-91.98377,87.6401,-2.0667956,34.27815,-18.12457,19.34566,-14.665756,17.112078,-15.336202,17.028185,-13.534051,11.835089,-9.81468,5407.3296,522.6817,611.5345,247.30864,229.09851,249.62096,142.63394,147.25267,85.050285,121.85474,148.99962,121.36834,139.34401,-0.16492456,0.01117177,0.00916285,-0.015786022,0.016695695,-0.016162394,0.022828802,0.0061910087,-0.005656162,-0.010765466,0.019501459,-0.0074668596,-0.011738412,205.30421,20.269527,15.553488,7.981443,6.6268973,10.48348,4.814968,5.9107723,2.3642304,4.422528,3.887026,2.6850073,3.04573,2549.269756774819,483133.8933632562,5583.144893779002,1947114.7737481825,2.0378873,7.445153,16.84331507914247,15.728974619819084,19.02366563456431,19.995101103420538,19.370803943980427,18.63316856236189,43.55392594738717,15.858122158165862,26.827393105990346,24.06093009824607,27.713750863800353,18.1199312861525,18.68810394018026,17.610116181433334,0.14219218,0.023499355,2485.524548182631,135810.8994432942,0.1843397,0.00969765,0.04371798370644773,0.14219218,0.023499355,1.9909668,123.046875,2.0378873,7.445153,5.117434389126069e-10,0.0009312690593478772,0.7390113,0.6849821,0.61127543,0.64733833,0.6355032,0.7008251,0.6496058,0.69938046,0.6640035,0.6584306,0.691602,0.63923466,0.04530382,0.04434944,0.0315111,0.034455817,0.042754,0.043325182,0.027551569,0.036852848,0.03409655,0.04465446,0.050088752,0.049396243,-0.01446450630348127,0.021814232594556764,-0.00592576948765995,0.013424797381194072,0.005918700167718345,0.0021779821113858716,0.0009953085399152608,0.001445816983626672,0.0033144085744927073,0.0024902247459737663,0.00031626786774862644,0.00035257885335220903,0.8640063807930047,8329.778,16146.339,0.11583368075696056,0.002542877999519632,2690.70338200626,4645377.3491834095,0.07106644006737338,3.2970071980493323,m00096.wav
-436.85822,154.08043,-19.861961,20.18266,3.1738954,0.45094606,-6.5277185,-4.608915,-10.058647,-6.1566315,-4.53336,-2.7670465,-5.211671,3777.126,166.42111,175.35219,148.87537,97.11503,71.10463,45.306553,35.759308,58.63147,66.20298,67.60658,57.5312,59.2549,-0.030371265,-0.027111296,-0.0061766035,0.011853355,0.015240966,0.012751211,-0.0032405632,-0.008449301,0.0010507558,0.002538577,-0.0032706654,0.014002395,0.019985095,2.813466,1.7386088,1.1078373,1.3676081,0.59550375,0.705532,0.574622,0.57346123,0.6519664,0.62601906,0.62634504,0.8163158,0.710747,1174.3248424594703,23945.10523226214,2083.7912150159514,156793.1020241183,0.8041181,0.052014936,19.732631529452377,20.660649303751956,24.891294601712318,25.228980754401885,24.04609531756536,20.66175501395601,15.88336090991676,14.17357508587597,16.1564567619034,14.201827566296556,14.243800063774225,11.481532468209814,10.332898666812103,2.5971609357364196,0.0077079404,5.8502177e-05,1518.1262097790514,15787.137472840532,0.009491226,2.7759454e-05,0.00011791447975479341,0.0077079404,5.8502177e-05,0.19058228,123.046875,0.8041181,0.052014936,3.667310545617424e-09,0.0009304610733182163,0.31745413,0.28493112,0.42946795,0.13858052,0.57028496,0.15294403,0.4501738,0.3784993,0.15033112,0.37734175,0.09784617,0.5276704,0.09608927,0.064023465,0.09462214,0.013740622,0.12280154,0.028893117,0.121529385,0.09218205,0.014641019,0.057371933,0.003360022,0.08202219,0.30131416489695245,-0.12538285272190272,0.06290268454893741,0.015673887927793874,0.008853256363197599,-0.006430117563309959,0.01343291767911499,0.033436079906089614,0.0591846051367348,0.05892575757181406,0.006537968380805885,0.007522615470978508,14.431385646275048,70.465164,0.9650783,0.06634016398395205,0.00042047251953821423,418.3800513442519,60538.67458293207,-0.0064052525374757845,3.625284796340572,m00102.wav
-265.6985,80.639626,9.737633,36.647453,27.827784,12.086293,15.0113535,15.11303,6.5591526,6.282747,7.4844704,5.643651,4.3488317,7492.5483,1146.6971,668.5598,369.1718,193.3353,163.13554,135.0408,122.32312,74.72788,71.89395,97.48065,69.6769,53.76588,0.06586844,0.0364165,0.038218457,0.015878467,0.004944774,0.0137885865,0.026401682,0.009515906,0.0108850505,-0.00035914246,-0.00020354935,0.0053954334,0.007011474,273.82275,41.216286,16.90828,15.462824,6.5909376,4.2586193,4.0374393,3.2359781,2.1112406,2.3872397,2.8720908,2.0969968,1.7974529,2112.968318838473,1134088.0152800495,4785.22564031685,6022046.835368957,2.124297,9.595697,19.556521691255817,16.010705176766944,19.282133640597827,18.4573677136992,18.544594831733573,17.628148835984973,14.779562874451896,19.77556168301974,18.903582019296348,22.50919796328179,14.35240281928827,13.793314421409887,9.45597222411877,2.327692451075615,0.04615099,0.0020964283,2595.2257204834805,435440.92719695804,0.05730878,0.00093814044,0.004226341336135156,0.04615099,0.0020964283,0.9248047,151.99908088235293,2.124297,9.595697,5.804464316264103e-10,0.0007753842277651803,0.26008275,0.27630085,0.2436758,0.2441692,0.29189834,0.37378922,0.75930154,0.38964793,0.35418227,0.40916297,0.3136451,0.42577446,0.036156062,0.04484653,0.037699852,0.030119173,0.03980636,0.05517054,0.094668664,0.064598136,0.057461508,0.09311883,0.043926045,0.11748307,0.03900839505475372,-0.18157590563871262,0.00023372140327648406,-0.15789479713372698,-0.014401703466629502,0.06918580930531298,0.005834558296424087,0.03544932550435454,0.017441117201913433,0.03893634504832103,0.0015221484951876052,0.010474919311564933,1.7432239715058528,1832.4559,472.24927,0.06084407325502707,0.0029268242612119815,2924.474346923033,3811035.230405945,0.15963220924826305,3.384229043634332,m00112.wav
-198.73212,102.408325,-9.996929,30.804916,-3.2927675,20.279371,-5.631608,28.096033,-11.504986,18.203848,-7.3605947,12.280453,-4.3624167,4884.7964,522.1035,629.7106,311.5154,246.28722,146.3161,146.75214,113.26933,92.45425,86.23761,77.45511,78.25509,68.72335,-0.201074,-0.015916063,0.051788956,0.008741318,0.024955094,-0.0006485251,0.014024777,0.0052369894,0.01262584,0.0029384403,0.017239297,0.0012516942,-0.0079283165,191.11792,14.61716,18.516422,7.679364,6.2782884,5.0209513,4.5206957,3.4717455,2.1786578,2.8021421,1.9376607,2.635026,2.0186465,1995.2769651140734,297018.1941325069,4557.769732906758,1985831.8858999058,1.6990625,5.7951617,22.082768917000767,16.001606342602084,19.4367841313249,18.890509563379357,17.877722964553083,17.499372040610126,38.056464937778806,40.071545861761315,17.877641600137796,29.008542526482923,15.604926303487114,11.14998160282309,6.992243128934786,11.82927430028277,0.061010376,0.004246427,2295.6840965175948,130474.96521907432,0.07837962,0.0018212432,0.007968694604882713,0.061010376,0.004246427,1.4040527,123.046875,1.6990625,5.7951617,5.129453753069503e-10,0.0009308204155979333,0.58637667,0.64863795,0.82409424,0.7642047,0.76525474,0.5406654,0.5045036,0.5011766,0.49058837,0.50958467,0.4234932,0.47825605,0.034199815,0.031980813,0.03157306,0.035496984,0.039246846,0.025987942,0.023894273,0.053673327,0.033033125,0.059639536,0.028900385,0.044478994,0.0387026980744418,0.0013483036744609631,0.007469637681026133,0.010727175085733799,-0.0011230232171639167,0.001303789848699448,0.0022975354695676316,0.0017901493303455075,0.0035712234135757055,0.004766117209189575,0.0008820094286546742,0.00038547294697370663,-0.29681618429361184,2009.2263,2038.4966,0.07027624709976799,0.001468733471192191,1870.665733255183,2053375.2381011066,0.128675669891909,3.3609061293080096,m00138.wav
-85.30834,118.44306,-31.477152,20.282328,-4.4176335,6.9121923,-10.952412,-1.622339,-7.361473,-3.0186849,-4.4440117,-1.417289,-4.2533975,554.0474,374.28247,72.866806,38.49851,51.464176,42.774345,30.935596,26.392166,27.229113,46.31819,28.166534,44.28992,36.169506,0.025180614,0.043041363,-0.003191366,0.006592253,-0.009938943,-0.011076776,-0.005077473,0.0025087674,0.003353994,-0.0003933733,-0.010029696,-0.010463466,-0.011815821,13.368213,3.0412006,1.1944066,0.741659,0.73920226,0.59366965,0.683745,0.6366213,0.6249794,0.9606951,0.62149024,0.8402695,0.648034,1878.4940039517187,85804.13313510078,3633.3658098897913,469422.26722209767,0.96279526,0.2102026,17.17842447420976,14.227127820210741,18.463324214165702,19.850168924091765,20.714607933310106,20.557243272984973,21.250464183121835,16.913923178792544,12.038429604011647,12.261819916611751,6.352439015041213,5.564823996403996,5.990072332917244,7.478170592397882,0.09214409,0.0051187635,1964.8146727469318,53278.706525032314,0.11506871,0.00036020525,0.013609302159204244,0.09214409,0.0051187635,1.2000427,129.19921875,0.96279526,0.2102026,2.531270152957277e-09,0.000890652557319224,0.29096165,0.4453631,0.700324,0.40741038,0.3937376,0.3560645,0.40277448,0.55078906,0.6346943,0.50034773,0.5004683,0.37767902,0.015643515,0.048496425,0.08089954,0.02479829,0.053756643,0.0379525,0.049732696,0.0718226,0.09049272,0.0376757,0.05645752,0.027927358,0.031195804448772416,0.014937709210798482,0.00669889161413622,-0.06183684459827664,-0.017852727219584585,-0.03493088639859176,0.011540302751579625,0.007632281682268469,0.004332969485557132,0.022366383006551308,0.0034027719539384644,0.0010294532746152499,0.3701911808650907,6029.6616,737.76056,0.11157585315158546,0.0006029248477689964,599.8576860182498,120713.23164804188,-0.15190253985246713,0.24255782288533156,m00192.wav
-92.64569,77.41155,-32.758095,54.586475,-13.199569,33.660706,-12.074938,28.02354,-11.954623,18.8322,-6.6618686,13.044242,-7.011976,1416.0919,362.69464,295.69156,137.01932,86.62031,82.68818,79.66361,68.19638,60.094715,51.0111,46.754284,29.86,32.96287,-0.043605544,-0.027310459,0.022982527,-0.011148639,0.009316258,0.0109346295,0.013620124,0.017759072,0.01608425,0.014986044,-0.0013978572,0.00899165,0.0101336865,47.264698,13.460462,7.959305,3.618259,3.0735703,2.1057804,2.6143453,2.1779678,1.5262303,1.7572938,1.7138147,1.0941856,1.3212045,2735.6851447731715,279927.98073423933,5419.747351272476,661701.4543369814,1.3058459,1.3544023,18.530652422148563,13.421352192841395,15.209878467467501,15.029933570025442,15.226034965057345,15.744278236824359,42.76069803715271,13.442951200854866,12.201574068461518,15.403809982703025,10.102272273312233,5.16801985889102,2.9647150585347557,7.78413469933476,0.08040056,0.006034519,2295.5018679407126,50865.60313572894,0.10344428,0.0017922609,0.012498769030185375,0.08040056,0.006034519,1.7382202,112.34714673913044,1.3058459,1.3544023,6.911989464253618e-10,0.0010542078466606766,0.69282675,0.7089711,0.7045867,0.6547938,0.6392682,0.73931974,0.8297291,0.82849926,0.6764829,0.6496696,0.6167188,0.70142937,0.028657647,0.0300532,0.03798134,0.026347755,0.026326707,0.022666255,0.020888424,0.023449983,0.025882069,0.028660148,0.026620591,0.04042886,0.009464264870340336,0.0010937883643428058,0.011607686456721725,-0.01733997218564393,-0.00134007614222791,0.001326113923078988,0.0008008461501021553,0.0013981399919086382,0.0030299438137047856,0.0018498461731545214,0.00034059217191917244,0.00025029313503930755,0.023899598329731344,2457.1023,2602.5889,0.1575562373114849,0.002893470293054973,1103.9633634404552,486558.46208566613,-0.043936393893752736,2.870613899444006,m00206.wav
