mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_var_0,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_delta_mean_0,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_var_0,mfcc_delta_var_1,mfcc_delta_var_2,mfcc_delta_var_3,mfcc_delta_var_4,mfcc_delta_var_5,mfcc_delta_var_6,mfcc_delta_var_7,mfcc_delta_var_8,mfcc_delta_var_9,mfcc_delta_var_10,mfcc_delta_var_11,mfcc_delta_var_12,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_mean,spectral_rolloff_var,spectral_flux_mean,spectral_flux_var,spectral_contrast_mean_0,spectral_contrast_mean_1,spectral_contrast_mean_2,spectral_contrast_mean_3,spectral_contrast_mean_4,spectral_contrast_mean_5,spectral_contrast_mean_6,spectral_contrast_var_0,spectral_contrast_var_1,spectral_contrast_var_2,spectral_contrast_var_3,spectral_contrast_var_4,spectral_contrast_var_5,spectral_contrast_var_6,envelope_mean,envelope_var,spectral_bandwidth_mean,spectral_bandwidth_var,rms_mean,rms_var,energy,amplitude_mean,amplitude_var,dynamic_range,tempo_0,beat_strength_mean,beat_strength_var,ibi_var,ibi_mean,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11,tonnetz_mean_0,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_var_0,tonnetz_var_1,tonnetz_var_2,tonnetz_var_3,tonnetz_var_4,tonnetz_var_5,hpr,harmonic_energy,percussive_energy,zcr_mean,zcr_var,onset_acf_mean,onset_acf_var,skewness,kurtosis,file_name
-82.511116,97.34172,-34.367928,71.4085,-3.2920291,17.37537,-9.026282,16.017792,-19.010939,12.084585,-9.567408,13.953283,-14.459843,1495.3134,323.14224,303.474,188.57922,86.01735,84.59706,84.94236,58.439934,60.75086,45.94071,54.467407,56.92133,49.913574,0.03233243,-0.011551399,0.01967349,0.0051445663,-0.005074527,0.010663014,-0.01206902,0.010063319,-0.013003663,0.008568823,-0.008987889,0.004899528,-0.0015334021,66.14639,11.52821,10.818743,5.6222973,2.6797423,3.0417106,2.995004,2.4198573,2.057163,1.7081347,1.6788008,1.8476404,1.6503079,2254.6069861040164,181485.10334560616,4381.532206170244,681232.8309003843,1.266915,1.9688736,18.42324910196291,14.811131697206996,17.83292644401412,16.01116730544297,16.64780880365672,18.873513270236657,40.06572103160392,11.395035198885896,15.96918485664425,16.394511002905055,9.435376815495333,7.140560725482217,10.664835881299126,9.504873545432924,0.1070642,0.008539874,2071.0284398514386,65546.96398364648,0.13622084,0.0014257499,0.020002616079230057,0.1070642,0.008539874,1.4415283,135.99917763157896,1.266915,1.9688736,5.744313137600136e-10,0.0008826094540380255,0.529348,0.44806823,0.4499989,0.38193065,0.62344944,0.6152372,0.5532522,0.5739933,0.5792493,0.7286742,0.59440446,0.7856714,0.032565523,0.034394722,0.028024258,0.022642551,0.038556233,0.036440447,0.025988586,0.04400468,0.033089645,0.059309516,0.02856166,0.06745038,0.06383429037695511,-0.022261568581779634,-0.0068819800684230235,0.019402956682252226,-0.012761389360305473,-0.00952710261732651,0.0015807628600003679,0.0022581312325368943,0.007669573953100201,0.003210059569687439,0.0008271211306847809,0.0007901372863052233,0.4741288381224599,5015.8027,4307.2026,0.12011605459686775,0.0014769890824749856,1039.467137087412,527389.5603860384,0.05049439059514439,1.5020843112942188,m00003.wav
-1.9132978,72.68616,-32.791992,63.605476,-18.55635,25.870161,-13.8591,18.078884,-11.946615,19.672184,-13.954248,18.755697,-11.187991,477.82126,305.40076,242.78651,111.44707,69.67423,64.006805,79.26658,55.60889,54.3745,47.221706,45.1759,52.288517,39.03205,0.04384493,-0.03566382,0.022581637,0.007591463,0.009378201,-0.0129546365,-0.011196529,0.020559419,-0.0012348888,0.016232336,0.008009963,0.014449899,0.0067910696,9.078316,5.4470077,7.4545946,3.2136881,2.7128925,2.2674313,2.8366137,1.7689191,2.231687,1.8115141,1.8136837,1.8522856,1.2294714,2908.3001309605806,153812.037752941,5405.816551261601,623272.5050885418,1.1563457,0.5395755,18.524160576331486,13.818720668244472,18.002752287055305,15.368700130445054,15.475696307856623,17.230423388096078,41.88769140165305,20.74331199082592,14.349142949618763,21.49303749873398,8.228586539190177,5.588884963561697,4.014465029635025,70.9299603764338,0.17194417,0.019020682,2286.2525915644214,60680.78503132764,0.21747482,0.001230712,0.048585487303262044,0.17194417,0.019020682,1.9995117,103.359375,1.1563457,0.5395755,3.816188142392951e-09,0.001108887999644302,0.59418106,0.56217444,0.88231164,0.579061,0.4758258,0.5061782,0.49627087,0.5005675,0.49333876,0.49995807,0.41109636,0.4056107,0.066456795,0.030603696,0.037128273,0.030718656,0.027565908,0.041850995,0.029320622,0.0344739,0.024926355,0.019349528,0.026776506,0.02484659,0.04232740642472983,0.049303068018162755,-0.013115422965848,-0.04361326760869573,-0.026223706163166206,0.003401333677214385,0.0030408756690868,0.001778661950808257,0.0019411353728300683,0.006380630756511222,0.0008372923505755985,0.0004933275849541514,-0.0784512037597011,13640.328,7645.469,0.1781082330336427,0.0017587026689297137,865.3963041135347,237555.20069038292,-0.060754608116406573,0.6363504915803704,m00012.wav
-287.6037,101.75817,-35.345406,41.28016,-12.727131,17.276148,-13.967989,16.304947,-5.592962,13.65411,-8.788416,-0.05309516,-13.757536,4983.1357,305.2685,213.32509,56.019726,128.4801,53.540855,100.52651,62.290916,75.235756,83.899925,150.34724,71.28799,128.41685,-0.12795417,0.005277511,0.0130883735,-0.004261479,0.0146762235,-0.015953539,0.0073946314,-0.012268017,0.0053577814,-0.009951797,0.009590727,-0.00042898234,0.012948708,97.75974,5.944367,2.4420013,1.3500198,2.5203714,1.0632231,2.128945,1.2178653,1.61287,1.436133,1.8495951,1.2441297,2.120434,1952.6079332127847,166130.2540626827,3779.909832239704,447273.84605027473,1.1849595,1.6071419,15.679685056568916,18.681855999598262,21.48355528204767,23.96396082170758,24.473955971403903,23.647332034453264,34.825406279325755,18.247171984964876,24.492547368539437,17.979699083435353,15.700307896954204,14.006914941798238,10.050930920888323,23.199532513903865,0.022978257,0.0006504203,1865.9960468933257,22525.380285371444,0.029083412,0.00033204327,0.0011784208170093338,0.022978257,0.0006504203,0.5414429,184.5703125,1.1849595,1.6071419,8.126750762071596e-10,0.0006100966702470461,0.5377209,0.2654257,0.25420523,0.2175603,0.4231122,0.7971196,0.44428784,0.4316603,0.21726146,0.44555834,0.32112816,0.2668252,0.075539164,0.024218442,0.029448336,0.026004603,0.038588393,0.07928086,0.047226794,0.08088237,0.014161006,0.05315759,0.081206694,0.03516884,0.026706173106549286,0.160483560956528,-0.16078011410877008,0.035666064874968116,-0.01952286509406261,0.015149315480252312,0.005817567401459541,0.012827126600488199,0.02932674770519387,0.015332123111055926,0.003741667801962842,0.002184384576347875,1.8831575067849613,659.46704,27.31103,0.12342262120552977,0.0022154472671569677,909.2750995015537,340859.3503033821,0.002769299665188493,4.551729008944456,m00013.wav
-120.14749,91.317215,-38.84589,75.0084,-3.8132598,22.665588,-8.11944,23.6549,-14.6307745,13.3709755,-9.403305,13.706296,-9.315235,1961.358,492.0083,552.13904,212.12389,103.828545,107.080635,84.83688,67.21354,43.79946,65.23465,45.171955,31.926344,40.156002,-0.014431649,0.034732144,-0.05044118,0.024546325,0.005446866,-0.021330563,0.004375977,0.00051867345,0.014148359,-0.0024409976,-0.0061096824,0.0028884362,0.0057839234,76.82838,14.556519,24.780504,5.7032638,2.8749244,3.8315418,2.4508607,2.3767664,1.3671129,2.3577423,1.2091256,1.2439042,1.1872692,2384.6349581046015,268016.6088097102,4584.132502084542,1145523.2824818008,1.3391588,2.517575,18.87152117386596,14.35500698781533,15.568276262870333,14.744588480436013,16.07262358232663,19.146556325229945,39.286679291029266,13.599559529474497,13.200537338917268,15.341465637242193,9.822932239125803,7.2238577974030385,15.604344706324932,13.755793845695768,0.07982884,0.004220274,2072.7598996233987,118104.2003435202,0.10041095,0.0004973242,0.010592916063479963,0.07982884,0.004220274,1.561676,135.99917763157896,1.3391588,2.517575,4.669724216994776e-10,0.0008458737030165604,0.46293026,0.46661013,0.47108868,0.6403262,0.9084267,0.5227352,0.46276397,0.5209915,0.47718278,0.45058405,0.5919316,0.70972914,0.023936983,0.032768637,0.03483534,0.023747616,0.022990625,0.027121447,0.031592023,0.042537183,0.02600949,0.02812052,0.033484258,0.046901952,0.03406549634024801,-0.04578073668031655,0.06908832179859263,0.05455989573995038,0.021100996721869648,-0.02510675958019939,0.001922081594297823,0.002326264325840372,0.004112918087015363,0.0039026109642781403,0.00045980105073595816,0.0004229879744921644,0.2052451487967487,3793.3003,1411.787,0.12607323690061872,0.0020196183955442323,1161.5538344902036,583115.6101417163,-0.04928071155035295,0.9619956580198865,m00043.wav
-437.6044,170.93153,7.4195814,-3.083473,0.789382,-11.128749,-12.522781,-6.907836,-5.858702,-8.461237,-8.481487,-8.339388,-7.378574,4082.8062,824.8566,660.673,127.03363,137.47865,131.37071,122.3471,111.211655,193.85828,126.476,159.21576,216.91171,125.968704,-0.114489116,-0.037783165,0.045326836,0.021271484,0.0043558297,0.0035040989,-0.0035328434,-0.0069063883,-8.227746e-05,0.00060017314,-0.00901322,-0.017027631,-0.012293504,13.3115425,4.2414126,2.6719062,1.6375087,1.3833969,1.335781,0.98535645,1.2565652,2.2585263,1.413583,1.7634089,2.7190187,2.117247,790.5070052979679,32432.279251897395,1159.412272513051,142711.8215835332,0.8847035,0.7708235,14.75606253173177,17.16370892840314,22.318450386878165,24.297560571791035,24.11957996897153,21.63952166175409,17.475062047527583,22.684003762745682,16.891994780148192,25.34556331483026,16.772909168960602,16.91279569706347,12.711010118983825,13.368427970021166,0.015369294,0.0002639389,900.4092980707437,44425.15144661198,0.018832877,0.00014526873,0.0005001541158123553,0.015369294,0.0002639389,0.4425354,143.5546875,0.8847035,0.7708235,2.2452415026905584e-09,0.0008200438645403516,0.2551982,0.18211815,0.45247665,0.50123215,0.15226318,0.33286354,0.23699139,0.2801183,0.43246782,0.32076135,0.6318486,0.20823735,0.050125062,0.017524134,0.10014137,0.09798362,0.009865986,0.06417803,0.047531385,0.058951978,0.09942934,0.037059084,0.10108136,0.038590807,-0.15657667506024675,0.11205196505268289,0.046222164438229255,-0.12756106814143395,-0.020311870470123693,-0.0022771585635820075,0.023720915864232767,0.019963868501692704,0.023386999595424233,0.03779740332717584,0.007036265745658805,0.006220818644405208,0.28072200133907876,279.69208,9.179426,0.05208824258023975,0.0003647322756685791,506.7924667754346,115171.70863558722,0.03240760512649596,4.131841255740384,m00044.wav
-111.209496,103.16529,10.905522,34.357307,22.339897,17.869793,6.80789,6.3318367,5.4936476,0.61402774,0.33871174,3.8301575,2.0371509,4670.9883,1120.6461,262.86972,256.5427,124.0923,127.85114,109.43001,64.85296,53.99069,68.15596,62.60894,56.04916,51.18755,-0.038908225,0.054025453,-0.014213701,0.01781482,-0.013452835,0.0005753164,0.012909277,0.0054940972,-0.0026727924,-0.011203079,-0.0066524986,0.0027283442,-0.0015797331,136.5309,41.74137,8.926378,7.251855,3.1073217,2.5046396,2.3213286,1.9049139,1.3911816,1.749494,1.400938,1.2108736,1.2607913,1900.384454029494,761644.2154644026,4189.7318191705335,4038739.4119037264,1.3351729,3.7857997,24.41262464902862,17.589617611871212,21.20143766678961,20.587068613828162,21.338418177156107,19.083820341767233,16.459584285716474,25.881864278799544,16.404353652473947,21.0744848746434,18.961740750881592,14.931365482284313,16.215341630284133,9.125404150197863,0.14922893,0.01479458,2420.0936288076728,327188.3508935314,0.18395777,0.003179413,0.03706385255228993,0.14922893,0.01479458,1.9272156,107.666015625,1.3351729,3.7857997,1.3964749812403547e-09,0.0010982170646036192,0.2615668,0.3483641,0.3171563,0.1974001,0.44546464,0.26983747,0.5172958,0.3459272,0.3174658,0.5615258,0.24623166,0.2890607,0.06057247,0.06687214,0.097225204,0.014350674,0.07628778,0.024202973,0.11364116,0.038246192,0.03736098,0.117137074,0.027252832,0.044094816,0.16466320520588543,-0.10510240482812785,-0.10400489761947174,-0.016431027814481195,0.02198660405929411,0.04452015233801625,0.025629347052035838,0.0258160733002625,0.025464480697856024,0.04102598970337365,0.002344066416359615,0.006496387299483595,-5.546236904367756,17020.273,2753.1377,0.06617287195475638,0.0022335802267451008,1155.291205124634,819852.5478845674,-0.010906365338652134,0.7778193941955549,m00055.wav
-105.01983,80.71132,-28.524954,66.808876,-20.705503,29.117426,-9.36118,22.350224,-12.045787,13.597408,-14.733174,11.056683,-15.270406,466.61713,145.26735,97.56028,68.6122,78.84604,43.104927,69.13183,45.951283,41.706367,24.02939,24.224693,29.404322,19.766245,-0.01852189,-0.0020829714,0.019824928,0.01076098,-0.0018730747,0.002090379,-0.0062648687,0.0065908055,-0.010813914,0.0071958476,-0.0017829371,0.0057949163,-0.0017070394,13.380469,3.4840736,2.8453174,2.0134673,2.558674,1.4003233,2.1213539,1.5592856,1.4817683,0.8936667,0.8441526,0.8446063,0.645082,2644.877602537062,86200.80311366431,5176.9201008736945,127353.10816487473,1.1605045,0.70129347,17.77828397920517,15.514381589215272,15.290345778492293,15.683375193469475,15.583586655699731,17.17128781856638,40.68818690746159,16.07981065193736,13.790487542146401,11.630092966503314,7.348245841116126,4.598192908016551,4.825693932713359,4.491114678896535,0.07262788,0.0036206632,2268.124641763541,14144.590453826739,0.091984704,0.00042597527,0.008895471000080877,0.07262788,0.0036206632,1.2290955,172.265625,1.1605045,0.70129347,5.334755839999959e-10,0.0006850740296118445,0.6840512,0.4597156,0.46006787,0.45912787,0.67349225,0.6569866,0.5910557,0.68921024,0.6295691,0.59486467,0.60625917,0.6796306,0.041696496,0.022983562,0.040302042,0.023528084,0.06823614,0.04917429,0.04801406,0.06448982,0.04282384,0.048028003,0.04391134,0.03751919,0.026884551661965295,0.021428262113491338,0.016205753400714052,0.051172161412879794,0.000755865502710292,-0.008895872701002661,0.0012195745971661507,0.0015364561269758125,0.0030365968641925148,0.006367285090036442,0.0004238906135785122,0.0005914270171092702,0.23875319820447605,2781.8123,1366.4341,0.1416087375531709,0.0015881027848619743,871.7111851169576,275707.20763839025,0.021187086733491726,0.9390981042923192,m00061.wav
-108.10116,65.7679,-20.839346,47.553825,0.8670945,8.987104,-3.2015545,20.969147,-10.341167,7.8690705,-8.121823,12.04054,-9.151338,269.4447,284.77933,244.47017,110.13704,94.665565,41.358112,62.322132,46.040726,42.03929,31.82381,32.24468,35.260857,36.15593,0.012176881,0.023452563,0.0050590895,-0.0038226612,0.012352165,0.0075442386,0.0117582455,-0.006773689,0.009118075,-0.0103998715,-0.0032169456,-0.0070442664,-0.0040105856,9.342328,9.121237,7.6313186,2.4304526,2.0193434,1.6384524,1.9358444,1.572164,1.5634186,0.98725486,1.1537559,1.0976992,1.0987461,2939.593464244178,243834.84069861792,5806.928665621374,1035474.1643828175,1.1197333,0.38052237,20.449685629130606,13.472444845596902,14.624060051869593,15.147003835639232,16.280410638561943,18.397797413258385,39.89893503227909,22.910325263078335,11.463000759310129,11.892746398159545,7.218754391466095,4.018505889579845,7.349062138623552,29.153443936353035,0.054841977,0.0019795697,2522.764063583591,89755.75934475822,0.06945514,0.00015760632,0.0049872125265399,0.054841977,0.0019795697,0.80514526,151.99908088235293,1.1197333,0.38052237,8.227024747918821e-10,0.0007709750566893425,0.62654746,0.6871732,0.6927442,0.58088434,0.6099606,0.56327474,0.6625193,0.7084176,0.686772,0.60059476,0.5893851,0.66934144,0.029632816,0.050690707,0.0372656,0.020585816,0.037773155,0.021873578,0.04898656,0.046844725,0.04283792,0.029051036,0.027355215,0.034563024,0.017007778177877866,-0.015237199806702954,0.017163421247047495,-0.0011767103838790588,-0.0003462758836587239,-0.00971181030880028,0.0023513291961505204,0.0028545078361905535,0.0036214816046617553,0.0037199110480188695,0.00037038344820754834,0.0004696239795419627,0.01906105503744438,1381.6907,734.4795,0.16831088674593966,0.0018782496119271205,811.40071612448,214990.54504123746,0.01676915927739703,0.7839241124697911,m00063.wav
-419.33255,127.41256,-3.7806551,23.201252,-4.313284,4.0386424,-8.204688,-7.614801,-7.066255,-2.9135454,-7.399464,-5.427491,-9.091689,3962.3118,1453.988,309.82047,160.35527,250.67657,123.096504,161.63055,45.476032,70.191765,42.674854,59.14351,49.041508,51.439205,-0.06251672,0.031897314,0.0103464825,0.002711586,0.031604365,-0.0048986245,0.0024399133,0.0027958998,0.0151312575,-0.008293721,0.018519904,0.0007298618,0.009113393,10.529168,3.7532272,1.5172448,0.8492485,0.7454329,0.65078515,0.7054317,0.6843991,0.5989602,0.56847256,0.593243,0.59350014,0.6315066,1282.3275301478,302309.4930528709,2441.9035378299013,1544673.4362499667,1.0052208,0.16454722,16.18011311687662,20.926335153419103,24.046660345957587,23.246690966901053,23.75346036513387,20.913284633915836,26.3482480872976,25.44230497708082,40.94359623806374,26.412680953829533,13.727603573752473,11.866642063135112,8.618170746201653,24.604834404281537,0.0132748345,0.0002695247,1503.4940090040182,133852.22492437932,0.015997374,0.00018967479,0.0004457458716146943,0.0132748345,0.0002695247,0.37869263,107.666015625,1.0052208,0.16454722,2.900453904512025e-09,0.0011002661934338951,0.25153378,0.52562445,0.36223063,0.48873442,0.353217,0.24815525,0.26241544,0.39875382,0.27968553,0.34091422,0.30434954,0.302341,0.029718835,0.1255814,0.07816236,0.117987424,0.076132685,0.032678176,0.046354003,0.09642162,0.058479015,0.10915182,0.058005378,0.05486504,-0.04366695935190292,-0.03383058260076893,0.04711247996728914,-0.026830494553657477,0.04723690540680369,-0.003088983439815873,0.03912320451160537,0.03284888292558522,0.07110436794851312,0.027884789445654142,0.006086106174268805,0.00978887342123452,0.15193336249419706,278.27505,2.7548923,0.059409440255220415,0.001157177877044786,653.8556997073479,151123.37656099,-0.011145765169138804,6.855063887382583,m00069.wav
-121.83351,149.66736,-42.832016,24.485323,-5.4060426,10.664615,-2.8184383,0.7835228,-6.3980646,4.4740596,-1.2259257,1.2524997,-1.1988703,5210.862,910.7214,252.48276,125.96925,116.32859,63.994102,69.006645,40.821568,47.335903,35.310314,39.164345,43.360382,31.153845,-0.24907963,0.031642184,0.03501897,-0.010797398,0.012837551,-0.012138926,0.00015083281,0.0009739026,0.01674012,0.017457912,0.012340349,-0.008795003,-0.0065462654,87.954,13.257908,2.9523711,1.6303058,1.4196761,0.976378,0.88125503,0.79303116,0.8302144,0.6657013,0.7015211,0.8085888,0.632485,1462.3835644748758,115918.3806808428,2740.2111359458554,583674.3424046066,1.0991608,1.513162,18.156363873730076,16.625324444840743,20.35185978880498,21.56130845279906,23.611415690035816,22.42252276763853,20.274099391394365,21.730161670677315,14.565889927201578,13.99911400716803,9.207219645432774,8.272425407523162,4.362791155930672,11.02531598050809,0.11054371,0.010049964,1556.0280335329028,94208.4913898722,0.13828577,0.00313471,0.022269875929404433,0.11054371,0.010049964,1.4877319,215.33203125,1.0991608,1.513162,4.4808235173561956e-10,0.0005475949244946204,0.2672849,0.21283847,0.64275914,0.3472366,0.21922156,0.28146634,0.27120885,0.67931616,0.36107245,0.33413503,0.28915122,0.26037493,0.0635253,0.021367148,0.09508133,0.04467906,0.02463433,0.06237737,0.021369264,0.118074,0.03363449,0.042686027,0.05512677,0.023573067,0.10311586868261693,0.14854061278313022,0.11807658051612313,-0.08520568868271994,-0.01643195848538182,-0.03330305508623215,0.012623537685357828,0.003762764626268558,0.03203644568966688,0.020272244571389958,0.002833232324773413,0.002750302336771542,0.29542535360243033,11910.308,728.63806,0.08767017105137509,0.0005364494836622036,792.097761915036,256650.97596698356,-0.014083659932149536,1.220881338629824,m00074.wav
